id, date, question;;;
2017D30329, 2017-10-27,Bent u bekend met het artikel «Kinderen kunnen voortaan – zonder medisch dossier – slecht rijgedrag van ouders melden»?1;;;
2017D30329, 2017-10-27,Waarom is het mogelijk dat een geloofwaardige melding van slecht rijgedrag zonder bewijsvoering in behandeling wordt genomen en de rijbevoegdheid wordt opgeschort? Hoe wenselijk acht u deze situatie? Kunt u uw antwoord toelichten?;;;
2017D30329, 2017-10-27,Bent u het eens met de stelling dat dit kan leiden tot willekeur en misbruik van deze regeling? Kunt u uw antwoord toelichten?;;;
2017D30329, 2017-10-27,Kunt u aangeven welke overige criteria gelden bij het beoordelen van de geloofwaardigheid van de melding van slecht rijgedrag? Wie heeft deze criteria vastgesteld?;;;
2017D30329, 2017-10-27,Klopt het dat de richtlijn geen leeftijdsgrens kent zoals het artikel ook meldt? Wil dit zeggen dat van iedereen ongeacht leeftijd bij een geloofwaardige melding het rijbewijs kan worden opgeschort?;;;
2017D30329, 2017-10-27,Is het gelet op het feit dat op de website van het Centraal Bureau Rijvaardig-heidsbewijzen (CBR) staat dat men een melding kunt doen over «een familielid of bekende» met deze regeling mogelijk dat iedereen een melding kan doen over slecht rijgedrag van een ander persoon ongeacht de relatie tot die persoon?;;;
2017D30329, 2017-10-27,Hoeveel meldingen van slecht rijgedrag worden er gedaan per jaar en wat gebeurt hiermee?;;;
2017D30413, 2017-10-30,Bent u bekend met bericht «Steeds meer overlast in steden en buitengebie-den. Rattenbestrijding strandt»?1;;;
2017D30413, 2017-10-30,Welk ministerie heeft de regie over het bestrijden van overlast van ratten?;;;
2017D30413, 2017-10-30,Kunt u bevestigen dat er een groot risico is voor de volksgezondheid als de overlast van ratten verder toeneemt omdat ratten ziektes (waaronder dierziektes) kunnen verspreiden en ratten drager zijn van verschillende bacteriën?;;;
2017D30413, 2017-10-30,Deelt u de mening van het Kennis- en Adviescentrum Dierplagen dat de preventie niet goed geregeld is? Deelt u de mening van ongediertebestrijders die waarschuwen voor »middeleeuwse taferelen met veel ziektes»? Zo nee waarom niet?;;;
2017D30413, 2017-10-30,Klopt het dat het Rijksinstituut voor Volksgezondheid en Milieu (RIVM) onderzoek doet naar onder andere de omvang van de landelijke rattenplaag? Zo ja wanneer verwacht u de uitkomsten van dit onderzoek aan de Kamer te kunnen sturen?;;;
2017D30413, 2017-10-30,Wat heeft u met de conclusie van de Wereldgezondheidsorganisatie (WHO) gedaan dat stedelijke gebieden in toenemende mate te kampen hebben met ongedierte en door ongedierte overgedragen ziekten?;;;
2017D30413, 2017-10-30,Bestaat de Initiatiefgroep dierplaagbestrijding nog steeds? Zo nee waarom niet? Zo ja hoeveel vergaderingen heeft de initiatiefgroep gehad sinds 27 oktober 2011? Wat is er besproken en wat is er met de uitkomsten van dit overleg gedaan?;;;
2017D30413, 2017-10-30,Bent u van mening dat voor de beheersing van knaagdieren het toepassen van geïntegreerde plaagdierbeheersing (Integrated Pest Management) zowel buiten als binnen goed functioneert? Zo ja waaruit blijkt dat?;;;
2017D30413, 2017-10-30,Is de speciale voorlichting voor de particulier zoals aangekondigd in de brief de Staatssecretaris van Infrastructuur en Milieu van 2 juli 2015 (Kamerstuk 27 858 nr. 322) reeds ontwikkeld en hoeveel particulieren hebben hier gebruik van gemaakt?;;;
2017D30413, 2017-10-30,Bent u van mening dat de speciale voorlichting werkt nu blijkt dat de overlast van ratten in steden en buitengebieden nog steeds toeneemt?;;;
2017D30519, 2017-10-31,Bent u bekend met het bericht «Oude dieselauto’s niet meer welkom in Arnhemse binnenstad (met kaartje)»?1;;;
2017D30519, 2017-10-31,Wat valt er te zeggen over de data waarop het Arnhemse gemeentebestuur zich beroept? In hoeverre zijn de Arnhemse metingen van een regionale Gemeentelijke Gezondheidsdienst (GGD) of metingen van Milieudefensie gelet op het feit dat in Amsterdam afwijkingen in meetmethoden zijn geconstateerd representatief en conform de richtlijnen van het Rijksinstituut voor Volksgezondheid en Milieu (RIVM)?;;;
2017D30519, 2017-10-31,Wat is de planning van Arnhem? Wat zijn de gevolgen voor mensen met een oudere diesel die hun stad niet meer in kunnen? Hoe worden mensen die de binnenstad bezoeken bijvoorbeeld met een youngtimer gecompenseerd voor de schade? Wat doet de gemeente Arnhem voor deze mensen?;;;
2017D30519, 2017-10-31,Hoe voorkomen we een wirwar van bebording voor milieuzones? Zijn er al ideeën hoe de gewenste eenduidigheid in te vullen is gezien het feit dat er nu sprake is van willekeur aan de hand van jaartallen van voertuigen die eigenlijk niets zeggen over de echte uitstoot (zo kan een kleine oudere diesel een stuk schoner zijn dan een grotere nieuwere auto)? Hoe denkt u daarover? Wanneer valt duidelijkheid te verwachten en welke norm per voertuig wordt dan geldend?;;;
2017D30519, 2017-10-31,Is het niet verstandiger dat gemeenten eerst dat uniforme beleid afwachten voordat ze verdergaan draagvlak verliezen kosten maken en vooral onzekerheid geven aan de bezoekers en bewoners van hun stad via een ratjetoe aan bebording en eisen?;;;
2017D30519, 2017-10-31,In hoeverre zijn milieuzones nog een relevant instrument als de Europese norm voor luchtkwaliteit behaald wordt of in 2020? In hoeverre zijn normen van de Wereldgezondheidsorganisatie (WGO) rechtsgeldig? Op basis van welke normering en criteria wordt de luchtkwaliteit in Nederland beoordeeld?;;;
2017D30519, 2017-10-31,Aangezien in Arnhem trolleybussen rijden die voorzien zijn van koolstofblok-ken die dagelijks aan flinke slijtage onderhevig zijn en wekelijks meerdere keren vervangen worden zou het zo kunnen zijn dat juist op het specifieke Arnhemse knelpunt (een gebied van 100x100m) rondom Velperplein Musis ingang Steenstraat) er uitstoot gemeten wordt die afkomstig kan zijn van deze deze trolleybussen? Of van een stationaire bron bijvoorbeeld tijdens een verbouwing? Is dat geheel uit te sluiten? Is daar onderzoek naar gedaan? Wat valt te zeggen over de slijtage en vervanging van de koolstofblokken en/of andere specifieke situaties zoals de dagelijkse bevoorrading van de nabijgelegen supermarkten? Is maatwerk en inzicht in de exacte bronnen niet verstandiger om een lokaal knelpunt op te lossen?;;;
2017D30524, 2017-10-31,Deelt u de mening dat het voor de Nederlandse maritieme reparatiesector van groot belang is dat er sprake is van een gelijk speelveld aangezien klanten vanwege kleine kostmarges erg gemakkelijk kunnen en zullen uitwijken naar andere aanbieders? Deelt u voorts de mening dat het in dit verband in algemene zin risicovol is wanneer wet- en regelgeving de oorzaak is van eerder niet bestaande meerkosten voor de Nederlandse maritieme reparatiesector? Zo nee waarom niet?;;;
2017D30524, 2017-10-31,Kunt u bevestigen dat het in alle Schengenlanden staande praktijk is dat zeevarenden bij aanmonstering aan boord van het schip worden uitgestem-peld ongeacht of het schip meteen vertrekt? En dat deze vertrekdatum veelal afhankelijk is van de duur van de omvangrijke en derhalve lastig te plannen reparatiewerkzaamheden danwel van lastig te plannen economische omstandigheden en het afkomen van dito opdrachten? Zo nee waarom niet?;;;
2017D30524, 2017-10-31,Hoe kijkt u vervolgens naar het gegeven dat begin 2016 enkel in de haven van Rotterdam het uitstempelen is beëindigd waarmee de gangbare en bestendigde praktijk is doorbroken wat heeft geleid tot onrust in de sector over de mogelijke gevolgen daarvan? Kunt u zich deze zorgen voorstellen?;;;
2017D30524, 2017-10-31,Kunt u in detail beargumenteren waarom volgens u deze verandering geen enkel gevolg zou hebben voor het gelijke speelveld en daarmee geen enkel gevolg zou hebben voor de Nederlandse spelers in die sector en dat daarmee de onrust die is ontstaan volledig onterecht zou zijn?;;;
2017D30524, 2017-10-31,Hoe verklaart u voorts de uitspraak van 17 mei 2017 van de meervoudige kamer van de Rechtbank Den Haag met zitting in Rotterdam namelijk dat het uitstempelen van zeevarenden direct bij het aanmonsteren aan boord van het schip in lijn is met het Schengenverdrag ongeacht de vertrektijd?;;;
2017D30524, 2017-10-31,Kunt u bevestigen dat deze uitspraak betrekking heeft op zeevarenden dus personen die over een zeemansboekje beschikken en vermeld staan op de bemanningslijst en niet over andere personen zoals bijvoorbeeld toezicht-houders? Zo nee waarom niet? Zo ja hoe verhoudt uw argumentatie (vraag 4) en de uitspraak van de rechter zich tot eerdere antwoorden op Kamervra-gen1 namelijk dat met het beëindigen van het uitstempelen de uitvoering van de Schengencode niet strikter is dat er geen sprake is van een gewijzigd inzicht of nieuwe lezing dat de Schengengrenscode alleen verplicht tot uitstempelen als het schip op korte termijn de intentie heeft om Nederland te verlaten?;;;
2017D30524, 2017-10-31,Kunt u deze vragen afzonderlijk beantwoorden?;;;
2017D30971, 2017-11-03,Kent u het bericht «Verbreding N50 niet eerder dan in 2023»?1;;;
2017D30971, 2017-11-03,Klopt het bericht dat de verbreding van de N50 bij Kampen niet voor 2021 kan worden gerealiseerd maar mogelijk wordt uitgesteld tot 2023? Zo ja waarom wordt de belangrijke aanpak van de N50 vertraagd?;;;
2017D30971, 2017-11-03,Is één van de redenen voor uitstel het gebrek aan realisatiekracht bij Rijkswaterstaat zoals in het bericht wordt gemeld? Zo ja hoe verklaart u het gebrek aan capaciteit bij Rijkswaterstaat om op korte termijn te starten met dit project?;;;
2017D30971, 2017-11-03,Op welke manier wordt de motie-Visser c.s.2 uitgevoerd waarin de regering wordt verzocht de aanpak van de N50 zo spoedig mogelijk te realiseren? Is de eerder aangekondigde startbeslissing die na afgelopen zomer zou worden genomen al genomen?3 Zo nee waarom niet? Wanneer ontvangt de Kamer deze startbeslissing over de planning van het project?;;;
2017D30971, 2017-11-03,Deelt u de mening dat de verbreding van de N50 zo snel mogelijk moet plaatsvinden gezien de verkeersonveiligheid en de filedruk op dit traject? Zo ja kunt u toezeggen dat op korte termijn gestart kan worden met de realisatie van de aanpak van de N50 en dat hierbij medeoverheden worden betrokken?;;;
2017D30971, 2017-11-03,Bent u bereid deze vragen voorafgaand aan het notaoverleg Meerjarenpro-gramma Infrastructuur Ruimte en Transport (MIRT) d.d. 20 november 2017 te beantwoorden?;;;
2017D30983, 2017-11-03,Heeft u kennisgenomen van de uitspraken en de berichtgeving rondom de uitspraken van de president-directeur van ProRail over zogenaamde spoorlopers en zijn wens dat machinisten minder snel op de rem zouden moeten trappen om de dienstregeling niet in de war te gooien? Zo ja hoe beoordeelt u deze uitspraken?1;;;
2017D30983, 2017-11-03,Deelt u de mening dat de uitspraak om minder snel af te remmen bij een waargenomen spoorloper onverantwoord is en de veiligheid van zowel de spoorloper als de machinist als de treinreizigers in gevaar brengt? Zo ja hoe beziet u de instructies aan machinisten om hier vooral veiligheid boven punctualiteit te stellen zeker in het licht van de bizarre en onverantwoorde-lijke uitspraak van de president-directeur?;;;
2017D30983, 2017-11-03,Bent u bereid om de bestuurder van ProRail die dergelijke uitspraken doet ten koste van veiligheid te vragen om deze uitspraak terug te nemen? Zo ja op welke wijze gaat u dit duidelijk maken aan de president-directeur?;;;
2017D30983, 2017-11-03,Met welke maatregelen denkt u dat het aantal spoorlopers wel kan worden teruggebracht zodat de grote onveiligheid die spoorlopers met zich meebrengen wordt voorkomen? Wat betekent dit concreet voor uw beleidsa-genda in de komende periode?;;;
2017D30983, 2017-11-03,Bent u bereid deze vragen te beantwoorden voorafgaand aan het algemeen overleg over spoorveiligheid op 29 november 2017?;;;
2017D30986, 2017-11-03,Wat is de huidige stand van zaken met betrekking tot het gebruik van zwaailicht en sirene door de douane?1;;;
2017D30986, 2017-11-03,Klopt het dat de douane niet wordt aangewezen als hulpverleningsdienst in het kader van het voeren van optische- en geluidssignalen? Zo ja hoe valt dat te rijmen met eerdere toezeggingen om de douane uit te rusten met optische- en geluidssignalen en hoe valt het te rijmen met de toezegging dat er wordt aangesloten bij de werkvloer?;;;
2017D30986, 2017-11-03,Wat zijn de overwegingen geweest bij de keuze om de douane niet toe te staan met sirene en zwaailicht te laten rijden?;;;
2017D30986, 2017-11-03,Bent u bereid alsnog de douane toe te staan met zwaailicht en sirene te laten rijden? Zo nee waarom niet?;;;
2017D31102, 2017-11-06,Kent u het artikel «Vliegveld Maastricht profiteert niet van overvol Schip-hol»?1;;;
2017D31102, 2017-11-06,In hoeverre is gelet op uw brief van 31 oktober 2017 een spoedige oplossing binnen bereik zodat ook volle vrachtvliegtuigen gebruik kunnen gaan maken van de volledige startbaan van Maastricht Aachen Airport (MAA)? Welke belemmeringen zijn er nog?2;;;
2017D31102, 2017-11-06,Wat is uw visie op het uitwijken van luchtvrachtmaatschappijen die nu naar andere omliggende luchthavens gaan zoals bijvoorbeeld Luik Brussel en Frankfurt in plaats van gebruik te maken van MAA? Wat betekent dit voor luchtvracht en voor de werkgelegenheid in de regio de groeimogelijkheden van MAA en de eventuele opvang van huidige vrachtvluchten vanaf het overvolle Schiphol?;;;
2017D31102, 2017-11-06,Kunt u meer zeggen over de belanghebbenden de verdeling van verantwoor-delijkheden en de rollen in dit dossier?;;;
2017D31104, 2017-11-06,Kent u de berichtgeving naar aanleiding van de uitspraken van de directeur van Airport Coordination Netherlands (ACN)?1;;;
2017D31104, 2017-11-06,Wat is de precieze inhoud van de overeenkomst die nu is gesloten tussen KLM en AirBridgeCargo (ABC)?;;;
2017D31104, 2017-11-06,Kunt u uitgebreid toelichten wat uw rol is geweest in de totstandkoming van deze overeenkomst?;;;
2017D31104, 2017-11-06,Welk contact is er in het kader van deze overeenkomst verder geweest tussen de Russische overheid en respectievelijk de Nederlandse overheid ACN Schiphol en KLM? Wat was de inhoud van dit contact?;;;
2017D31104, 2017-11-06,Kunt u ingaan op de uitspraak van de directeur van ACN dat een dergelijke overeenkomst tussen KLM en ABC een precedent kan scheppen voor andere luchtvaartmaatschappijen en landen?;;;
2017D31104, 2017-11-06,Klopt het dat in het luchtvaartverdrag tussen Nederland en Rusland specifieke afspraken zijn gemaakt over landingsrechten en verkeersrechten? Zo ja met welke argumentatie zijn deze afspraken in het verdrag terechtgekomen? Zo nee waarop doelt de directeur ACN dan in het artikel?;;;
2017D31104, 2017-11-06,Zijn er meer landen waarmee Nederland vergelijkbare afspraken in verdragen heeft opgenomen waardoor de Nederlandse luchtvaart gechanteerd kan worden?;;;
2017D31104, 2017-11-06,Kunt u inzichtelijk maken hoever het staat met de mogelijke «local rule» voor Schiphol?;;;
2017D31104, 2017-11-06,Bent u bereid om op grond van artikel 6 van het Besluit Slotallocatie specifiek ruimte op Schiphol toe te wijzen aan «all cargo»-vrachtvliegtuigen zodat alle «all cargo»-carriers voldoende ruimte hebben om hun vluchten uit te voeren? Zo nee waarom niet?;;;
2017D31104, 2017-11-06,Bent u bereid te inventariseren welke maatregelen – passend binnen de Europese wet- en regelgeving – andere landen hebben getroffen om te voorkomen dat vliegvelden als London Heathrow Frankfurt en Paris Charles de Gaulle worden volgevlogen door low cost carriers? Zo nee waarom niet?;;;
2017D31104, 2017-11-06,Welke andere maatregelen bent u voornemens te treffen om verdere problemen met vrachtvluchten en daarmee het mogelijk verlies van Nederlandse werkgelegenheid tegen te gaan?;;;
2017D31508, 2017-11-08,Kent u bericht «Nieuw peilbesluit IJsselmeer negatief voor watersport»?1;;;
2017D31508, 2017-11-08,Klopt de informatie van de brancheorganisatie voor de watersport HISWA? In hoeverre is het acceptabel of nodig dat 20% van de pleziervaart in de problemen komt door een flexibeler waterstand in het IJsselmeer?;;;
2017D31508, 2017-11-08,In hoeverre is het nu al relevant om het waterpeil met 10 cm te verlagen voor natuurdoelen dan wel de gevolgen van klimaatverandering? Kunt u beide doelen expliciet maken? Wat gaat er precies veranderen en hoe wijkt u af van huidige baggerwerkzaamheden als het gaat om vaardieptes en vaargeulen?;;;
2017D31508, 2017-11-08,Waarop is de stelling gebaseerd dat ondernemers uit de watersportsector op een mogelijk verlies van 30 miljoen euro per jaar rekenen en de horeca en middenstanders in omringende havenstadjes op tientallen miljoenen? In hoeverre is er dan nog sprake van een positief effect en weegt een beoogd natuureffect dan op tegen een economisch verlies? Is die waterstandverlaging echt nodig? Zo ja waaruit blijkt dat?;;;
2017D31508, 2017-11-08,Als er schade ontstaat welke compenserende maatregelen zijn er dan van toepassing? Kunt u dit toelichten? Hoe weegt u als er geen schade ontstaat de balans tussen natuurontwikkeling en werkgelegenheid en welvaart? Welke factoren spelen hierbij een rol? Welke locaties in omvang en aard spelen een rol en worden geraakt door het nieuwe peilbesluit? Wie is beslissingsbe-voegd en wie slechts adviserend? Bent u bereid in gesprek te gaan met HISWA en betrokken ondernemers over vaardieptes en aanpassingen in de waterstand?;;;
2017D31701, 2017-11-09,Bent u ermee bekend dat in Nederland geen of weinig voorzorgsmaatregelen worden genomen ten aanzien van elektromagnetische straling in vergelijking tot andere landen?1;;;
2017D31701, 2017-11-09,Hoe geeft u invulling aan het advies van de Gezondheidsraad om de blootstelling aan mobiele telefonie zo laag als redelijkerwijs mogelijk te houden en de effecten te blijven onderzoeken?2;;;
2017D31701, 2017-11-09,Ziet u mogelijkheden om richtlijnen te geven om elektromagnetische straling redelijkerwijs zo laag mogelijk te houden? Zo ja op welke wijze? Zo nee waarom niet?;;;
2017D31701, 2017-11-09,Wordt in het beleid betreffende elektromagnetische velden rekening gehouden met onderzoeken waaruit blijkt dat elektromagnetische velden naast opwarming van weefsel ook andere schadelijke biologische effecten op celniveau kunnen veroorzaken? Zo ja op welke wijze?;;;
2017D31701, 2017-11-09,Is er sprake van een toename van elektrohypersensitiviteit in Nederland? Welke gegevens zijn hierover bekend?;;;
2017D31701, 2017-11-09,Bent u met het oog op het rapport «Meewegen van gezondheid in het omgevingsbeleid» van de Gezondheidsraad dat adviseert om bij complexe en onzekere risico’s belanghebbenden te betrekken bereid een inspanning te doen om belanghebbenden weer aan tafel te krijgen bij het kennisplatform Elektromagnetische Velden en Gezondheid door het platform meer bij hun wensen aan te laten sluiten?3;;;
2017D31703, 2017-11-09,Wat vindt u van het artikel «Chroom-6: hoe 800 Tilburgse werklozen in gevaar werden gebracht»?1;;;
2017D31703, 2017-11-09,Deelt u de mening dat zowel de Nederlandse Spoorwegen (NS) als de gemeente Tilburg enorme steken hebben laten vallen bij het treinenproject voor 800 werkloze Tilburgers?;;;
2017D31703, 2017-11-09,Wat vindt u van de behandeling van de werklozen in dit project («schuren en niet zeuren») waarbij zieke medewerkers gebeld werden door de projectlei-der met de mededeling dat zij gekort werden op hun uitkering als zij niet toch kwamen opdagen?;;;
2017D31703, 2017-11-09,Hoe is het mogelijk dat de NS de gemeente Tilburg en de Inspectie SZW niet ingrepen toen duidelijk werd dat de werklozen zonder adequate bescherming moesten werken met chroomverf?;;;
2017D31703, 2017-11-09,Klopt het dat de NS lang van tevoren op de hoogte was van de risico’s van het werken met chroomverf? Zo ja waarom werden geen maatregelen genomen?;;;
2017D31703, 2017-11-09,Hoe kan het dat u op eerdere vragen antwoordt dat de toenmalige Inspectie SZW geen signalen heeft ontvangen terwijl er wel degelijk anonieme klachten binnenkwamen over het vele stof?2;;;
2017D31703, 2017-11-09,Kunt u garanderen dat werknemers – die nu nog in aanraking komen met chroomverf – geen enkel risico meer lopen?;;;
2017D31703, 2017-11-09,Bent u bereid de aanbevelingen uit het rapport «Slachtoffers van gevaarlijke stoffen bij defensie» ook toe te passen op deze ernstige zaak?3;;;
2017D31703, 2017-11-09,Deelt u de mening dat sprake is van een keihard misdrijf omdat de mensen die zijn blootgesteld aan gevaarlijke stoffen onvoldoende werden beschermd en omdat de kennis over die gevaarlijke stoffen aanwezig was of tenminste had moeten zijn? Zo ja waarom. Zo nee waarom niet?;;;
2017D31703, 2017-11-09,Komen de slachtoffers – zolang het onderzoek nog loopt – in aanmerking voor een coulanceregeling zoals die ook voor defensie geldt? Zo ja waarom? nee waarom niet?;;;
2017D31703, 2017-11-09,Komen de slachtoffers uiteindelijk in aanmerking voor een ruimhartige schadevergoeding? Bent u bereid hiervoor een schadefonds in te stellen? Zo ja waarom? Zo nee waarom niet?;;;
2017D31714, 2017-11-09,Heeft u het bericht gelezen «Dijksma klapt uit de school over Lelystad Airport»? Wat is uw reactie daarop?1;;;
